id,bookname_ws,bookyear_i,bookmonth_txt_en_split,author_txt_en_split,subject_txt_en_split,booknumber_i
,UDB-018-1322-23-18-01-MAGH.pdf,1322,magh,,Sri Sri Ramakrishnaleela Prosongo,1
,UDB-018-1322-23-18-01-MAGH.pdf,1322,magh,Sister Nivedita,Acharya Sri Vivekananda,1
,UDB-018-1322-23-18-01-MAGH.pdf,1322,magh,Swami Sudhhananda,Toposhya,1
,UDB-018-1322-23-18-01-MAGH.pdf,1322,magh,Sri Kanailal Pal,Europio Dorshoner Itihas,1
,UDB-018-1322-23-18-01-MAGH.pdf,1322,magh,Sri Atulkrishna Das,Rameshwar-Dorshon,1
,UDB-018-1322-23-18-01-MAGH.pdf,1322,magh,Sri Gokuldas Dey,Budhha O Mar,1
,UDB-018-1322-23-18-01-MAGH.pdf,1322,magh,Sri Gyanendra Kumar Kabyarnab,Kormokando O Ponchoyagga,1
,UDB-018-1322-23-18-01-MAGH.pdf,1322,magh,,Swami Vivekanander Potro,1
,UDB-018-1322-23-18-01-MAGH.pdf,1322,magh,,Ramakrishna Missioner Durbhikhhokarjo,1
,UDB-018-1322-23-18-01-MAGH.pdf,1322,magh,,Durbhikhhobhandarer Prapti Swikar,1
,UDB-018-1322-23-18-02-FALGOON.pdf,1322,falgoon,Swami Saradananda,Sri Sri Ramakrishnaleela Prosongo,2
,UDB-018-1322-23-18-02-FALGOON.pdf,1322,falgoon,Sister Nivedita,Acharya Sri Vivekananda,2
,UDB-018-1322-23-18-02-FALGOON.pdf,1322,falgoon,Sri Kanailal Pal,Europio Dorshoner Itihas,2
,UDB-018-1322-23-18-02-FALGOON.pdf,1322,falgoon,Sri Atulkrishna Mitra,Rameshwar-Dorshon,2
,UDB-018-1322-23-18-02-FALGOON.pdf,1322,falgoon,,Swami Vivekanander Potro,2
,UDB-018-1322-23-18-02-FALGOON.pdf,1322,falgoon,Sri Gokuldas Dey,Sthobir Mahakal O Churkal,2
